1, whups
2, podex
3, chays
4, adieu
5, loxed
6, pioye
7, cahow
8, deffo
9, rurps
10, lovat
11, hoody
12, kotch
13, justs
14, taube
15, bored
16, nerdy
17, boats
18, stent
19, malwa
20, pized
21, uncap
22, wangs
23, elegy
24, stoup
25, totem
26, boeuf
27, swine
28, fixed
29, sarks
30, leach
31, muter
32, mondo
33, croci
34, obias
35, turbo
36, berth
37, blade
38, atigi
39, cavel
40, talar
41, gawds
42, iliac
43, oases
44, fogey
45, crout
46, farse
47, esnes
48, adays
49, dooly
50, doona
51, pokes
52, kiers
53, busky
54, lound
55, namma
56, aroha
57, laufs
58, gages
59, soaks
60, kilts
61, khaph
62, khets
63, diols
64, voice
65, twixt
66, poupt
67, unket
68, amber
69, iring
70, gleby
71, odeon
72, lezzy
73, irked
74, idant
75, sates
76, serve
77, degas
78, gamas
79, rowdy
80, coign
81, riots
82, diced
83, ponty
84, hotch
85, sured
86, fader
87, whorl
88, aloes
89, lined
90, moola
91, bousy
92, joint
93, assot
94, slunk
95, idyls
96, mocks
97, kurre
98, bines
99, halse
100, anent
101, busts
102, cutis
103, iodic
104, quays
105, dovie
106, legal
107, crape
108, tragi
109, vizir
110, gnash
111, dhole
112, leese
113, aport
114, flirt
115, quyte
116, rivas
117, deave
118, leary
119, globs
120, table
121, chiro
122, baken
123, shows
124, yahoo
125, wefts
126, gombo
127, buffa
128, puhas
129, azans
130, reply
131, bolts
132, fille
133, nidus
134, fuffs
135, debts
136, durra
137, baggy
138, swerf
139, sands
140, festy
141, galop
142, pokey
143, tasar
144, lobar
145, salat
146, shogs
147, baboo
148, minus
149, demos
150, plate
151, loral
152, chams
153, lindy
154, bimas
155, lowly
156, douce
157, poofy
158, craps
159, antes
160, dying
161, dorad
162, riyal
163, teffs
164, tanka
165, glede
166, crime
167, ruths
168, whets
169, unapt
170, jells
171, cubby
172, ogees
173, trier
174, civil
175, creps
176, tubed
177, mafic
178, avens
179, means
180, sasin
181, kahal
182, dited
183, tains
184, dogie
185, llama
186, boyau
187, hause
188, nyala
189, orcin
190, namus
191, loave
192, barms
193, dinge
194, plotz
195, coney
196, shout
197, sunna
198, begin
199, gurry
200, spait
201, gored
202, tians
203, stoss
204, forky
205, exine
206, drums
207, uncle
208, woful
209, verso
210, mensh
211, peals
212, tocky
213, gusto
214, aures
215, sweel
216, chews
217, tween
218, volva
219, faros
220, solde
221, maria
222, warms
223, datal
224, teres
225, arise
226, azole
227, wited
228, jiber
229, stela
230, neper
231, redia
232, annat
233, hamza
234, rivel
235, reorg
236, nouls
237, nills
238, tsked
239, shivs
240, musth
241, taish
242, vocab
243, inept
